Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
ago/15;ABDI;07.200.966/0001-11;4.888.414,00
set/15;FNDE;153173 / 15253;1.562.096.473,00
set/15;INCRA;373001 / 37201;110.041.323,00
set/15;SENAI;33.564.543/0001-90;134.680.242,00
set/15;SESI;33.641.358/0001-52;193.913.488,00
set/15;SENAC;33.469.172/0001-68;204.643.886,00
set/15;SESC;33.469.164/0001-11;368.111.074,00
set/15;SEBRAE;00.330.854/0001-45;258.191.826,00
set/15;EMBRATUR;35.842.428/0001-66;0
set/15;DPC;852001 / 00001;12.785.671,00
set/15;ANAC;122002 / 00001;18.450.493,00
set/15;SENAR;37.138.245/0001-90;58.350.822,00
set/15;SEST;73.471.989/0001-95;40.999.695,00
set/15;SENAT;73.471.963/0001-47;25.886.746,00
set/15;SESCOOP;03.087.543/0001-86;23.494.676,00
set/15;SDR;420013 / 00001;19.406.435,00
set/15;APEX-BR;05.507.500/0001-38;37.300.570,00
set/15;ABDI;07.200.966/0001-11;5.343.856,00
out/15;FNDE;153173 / 15253;1.475.278.041,00
out/15;INCRA;373001 / 37201;102.912.717,00
out/15;SENAI;33.564.543/0001-90;125.160.250,00
out/15;SESI;33.641.358/0001-52;179.631.610,00
out/15;SENAC;33.469.172/0001-68;193.903.575,00
out/15;SESC;33.469.164/0001-11;347.121.597,00
out/15;SEBRAE;00.330.854/0001-45;243.374.577,00
out/15;EMBRATUR;35.842.428/0001-66;0
out/15;DPC;852001 / 00001;12.095.445,00
out/15;ANAC;122002 / 00001;15.653.426,00
out/15;SENAR;37.138.245/0001-90;55.014.695,00
out/15;SEST;73.471.989/0001-95;37.047.706,00
out/15;SENAT;73.471.963/0001-47;23.350.397,00
out/15;SESCOOP;03.087.543/0001-86;23.668.256,00
out/15;SDR;420013 / 00001;18.149.574,00
out/15;APEX-BR;05.507.500/0001-38;35.119.139,00
out/15;ABDI;07.200.966/0001-11;5.031.336,00
nov/15;FNDE;153173 / 15253;1.418.418.705,00
nov/15;INCRA;373001 / 37201;99.203.321,00
nov/15;SENAI;33.564.543/0001-90;120.055.039,00
nov/15;SESI;33.641.358/0001-52;172.125.628,00
nov/15;SENAC;33.469.172/0001-68;189.277.058,00
nov/15;SESC;33.469.164/0001-11;330.379.586,00
nov/15;SEBRAE;00.330.854/0001-45;235.550.305,00
nov/15;EMBRATUR;35.842.428/0001-66;0
nov/15;DPC;852001 / 00001;12.170.236,00
nov/15;ANAC;122002 / 00001;15.515.840,00
nov/15;SENAR;37.138.245/0001-90;55.841.556,00
nov/15;SEST;73.471.989/0001-95;35.734.607,00
nov/15;SENAT;73.471.963/0001-47;22.512.368,00
nov/15;SESCOOP;03.087.543/0001-86;22.659.534,00
nov/15;SDR;420013 / 00001;17.494.083,00
nov/15;APEX-BR;05.507.500/0001-38;33.952.467,00
